# File generated by Flopy version 3.10.0 on 08/28/2026 at 12:37:11.
BEGIN dimensions
  NROW  10
  NCOL  4
END dimensions

BEGIN table
      31.68050000       0.00000000      13.66360000      13.66360000
      32.18050000      49.10358500     182.75070000     182.75070000
      32.68050000     182.75073200     351.83790000     351.83790000
      33.18050000     400.94144300     520.92500000     520.92500000
      33.68050000     703.67571700     690.01210000     690.01210000
      34.18050000    1090.95355400     859.09920000     859.09920000
      34.68050000    1562.77495400    1028.18640000    1028.18640000
      35.18050000    2119.13991700    1197.27350000    1197.27350000
      35.68050000    2760.04844300    1366.36060000    1366.36060000
      37.68050000    5492.76967300    1366.36060000    1366.36060000
END table

