Date,MONTHLY_TOTAL,MONTHLY_NORMAL_8110,MONTHLY_NORMAL_9120
10/1/1994,38.98,68.35,68.29
11/1/1994,55.45,81.78,84.12
12/1/1994,40.33,82.31,71.65
1/1/1995,40.02,62.59,62.17
2/1/1995,69.62,53.91,47.40
3/1/1995,13.75,42.26,48.00
4/1/1995,22.69,46.92,46.30
5/1/1995,4.49,35.18,37.62
6/1/1995,5.42,12.73,11.72
7/1/1995,2.42,6.73,3.38
8/1/1995,1.48,6.55,4.42
9/1/1995,13.26,23.77,24.36
10/1/1995,25.77,68.35,68.29
11/1/1995,116.17,81.78,84.12
12/1/1995,158.21,82.31,71.65
1/1/1996,261.92,62.59,62.17
2/1/1996,41.72,53.91,47.40
3/1/1996,29.22,42.26,48.00
4/1/1996,15.32,46.92,46.30
5/1/1996,142.46,35.18,37.62
6/1/1996,0.92,12.73,11.72
7/1/1996,3.27,6.73,3.38
8/1/1996,2.99,6.55,4.42
9/1/1996,17.37,23.77,24.36
10/1/1996,27.99,68.35,68.29
11/1/1996,33.18,81.78,84.12
12/1/1996,142.10,82.31,71.65
1/1/1997,98.94,62.59,62.17
2/1/1997,6.80,53.91,47.40
3/1/1997,0.72,42.26,48.00
4/1/1997,58.53,46.92,46.30
5/1/1997,80.31,35.18,37.62
6/1/1997,37.19,12.73,11.72
7/1/1997,31.26,6.73,3.38
8/1/1997,11.38,6.55,4.42
9/1/1997,27.65,23.77,24.36
10/1/1997,89.37,68.35,68.29
11/1/1997,239.14,81.78,84.12
12/1/1997,115.65,82.31,71.65
1/1/1998,43.24,62.59,62.17
2/1/1998,63.20,53.91,47.40
3/1/1998,32.49,42.26,48.00
4/1/1998,58.62,46.92,46.30
5/1/1998,39.06,35.18,37.62
6/1/1998,3.74,12.73,11.72
7/1/1998,0.57,6.73,3.38
8/1/1998,1.91,6.55,4.42
9/1/1998,35.93,23.77,24.36
10/1/1998,9.92,68.35,68.29
11/1/1998,17.16,81.78,84.12
12/1/1998,63.84,82.31,71.65
1/1/1999,67.28,62.59,62.17
2/1/1999,3.59,53.91,47.40
3/1/1999,45.82,42.26,48.00
4/1/1999,56.12,46.92,46.30
5/1/1999,13.79,35.18,37.62
6/1/1999,1.86,12.73,11.72
7/1/1999,2.69,6.73,3.38
8/1/1999,11.87,6.55,4.42
9/1/1999,84.34,23.77,24.36
10/1/1999,137.51,68.35,68.29
11/1/1999,46.29,81.78,84.12
12/1/1999,16.65,82.31,71.65
1/1/2000,12.82,62.59,62.17
2/1/2000,15.49,53.91,47.40
3/1/2000,16.28,42.26,48.00
4/1/2000,128.61,46.92,46.30
5/1/2000,80.89,35.18,37.62
6/1/2000,4.43,12.73,11.72
7/1/2000,5.10,6.73,3.38
8/1/2000,1.63,6.55,4.42
9/1/2000,9.31,23.77,24.36
10/1/2000,20.20,68.35,68.29
11/1/2000,150.87,81.78,84.12
12/1/2000,166.32,82.31,71.65
1/1/2001,102.98,62.59,62.17
2/1/2001,45.61,53.91,47.40
3/1/2001,127.32,42.26,48.00
4/1/2001,8.65,46.92,46.30
5/1/2001,35.99,35.18,37.62
6/1/2001,12.67,12.73,11.72
7/1/2001,2.63,6.73,3.38
8/1/2001,5.63,6.55,4.42
9/1/2001,44.99,23.77,24.36
10/1/2001,117.75,68.35,68.29
11/1/2001,18.00,81.78,84.12
12/1/2001,20.83,82.31,71.65
1/1/2002,52.64,62.59,62.17
2/1/2002,14.66,53.91,47.40
3/1/2002,87.37,42.26,48.00
4/1/2002,55.56,46.92,46.30
5/1/2002,20.75,35.18,37.62
6/1/2002,6.73,12.73,11.72
7/1/2002,1.63,6.73,3.38
8/1/2002,1.86,6.55,4.42
9/1/2002,69.12,23.77,24.36
10/1/2002,55.24,68.35,68.29
11/1/2002,105.30,81.78,84.12
12/1/2002,117.79,82.31,71.65
1/1/2003,61.80,62.59,62.17
2/1/2003,100.17,53.91,47.40
3/1/2003,63.75,42.26,48.00
4/1/2003,78.04,46.92,46.30
5/1/2003,0.44,35.18,37.62
6/1/2003,6.18,12.73,11.72
7/1/2003,3.41,6.73,3.38
8/1/2003,6.45,6.55,4.42
9/1/2003,12.94,23.77,24.36
10/1/2003,112.02,68.35,68.29
11/1/2003,67.84,81.78,84.12
12/1/2003,61.18,82.31,71.65
1/1/2004,79.50,62.59,62.17
2/1/2004,34.92,53.91,47.40
3/1/2004,53.33,42.26,48.00
4/1/2004,15.79,46.92,46.30
5/1/2004,16.91,35.18,37.62
6/1/2004,1.05,12.73,11.72
7/1/2004,0.87,6.73,3.38
8/1/2004,10.58,6.55,4.42
9/1/2004,4.23,23.77,24.36
10/1/2004,135.48,68.35,68.29
11/1/2004,18.98,81.78,84.12
12/1/2004,23.74,82.31,71.65
1/1/2005,1.22,62.59,62.17
2/1/2005,3.47,53.91,47.40
3/1/2005,18.77,42.26,48.00
4/1/2005,16.40,46.92,46.30
5/1/2005,16.62,35.18,37.62
6/1/2005,1.38,12.73,11.72
7/1/2005,4.66,6.73,3.38
8/1/2005,2.05,6.55,4.42
9/1/2005,6.89,23.77,24.36
10/1/2005,125.69,68.35,68.29
11/1/2005,92.31,81.78,84.12
12/1/2005,34.86,82.31,71.65
1/1/2006,35.46,62.59,62.17
2/1/2006,45.13,53.91,47.40
